10/24/2020,Nazwa,Nazwa potoczna,Oznaczenie,,
117,e339,fosforany sodu,Nieszkodliwy,,
118,e340,fosforany potasu,Nieszkodliwy,,
119,e341,fosforany wapnia,Nieszkodliwy,,
120,e343,fosforany magnezu,Nieszkodliwy,,
121,e350,jabłczany sodu,Nieszkodliwy,,
122,e351,jabłczan potasu,Nieszkodliwy,,
123,e352,jabłczany wapnia,Nieszkodliwy,,
124,e353,kwas metawinowy,Nieszkodliwy,,
125,e354,winian wapnia,Nieszkodliwy,,
126,e355,kwas adypinowy,Podejrzany,,
127,e356,adypinian sodu,Nieszkodliwy,,
128,e357,adypinian potasu,Nieszkodliwy,,
129,e363,kwas bursztynowy,Nieszkodliwy,,
130,e380,cytrynian triamonu,Nieszkodliwy,,
131,e385,sól wapniowo -disodowa kwasu etylenodiaminotetraoctowego,Niebezpieczny,,
132,e400,kwas alginowy,Nieszkodliwy,,
133,e401,alginian sodu,Nieszkodliwy,,
134,e402,alginian potasu,Nieszkodliwy,,
135,e403,alginian amonu,Nieszkodliwy,,
136,e404,alginian wapnia,Nieszkodliwy,,
137,e405,alginian glikolu propylenowego,Podejrzany,,
138,e406,agar,Nieszkodliwy,,
139,e407,karagen,Niebezpieczny,,
140,e407a,przetworzone wodorosty morskie,Podejrzany,,
141,e410,mączka chleba świętojańskiego,Nieszkodliwy,,
142,e412,guma guar,Zalecana ostrożność,,
143,e413,guma tragakantowa,Podejrzany,,
144,e414,guma arabska,Podejrzany,,
145,e415,guma kasantowa,Nieszkodliwy,,
146,e416,guma karaya,Podejrzany,,
147,e417,guma tara,Nieszkodliwy,,
148,e418,guma gellan,Zalecana ostrożność,,
149,e420,sorbitol,Podejrzany,,
150,e421,mannitol,Niebezpieczny,,
151,e422,glicerol,Zalecana ostrożność,,
152,e425,guma konjac,Podejrzany,,
153,e431,stearyniann polioksyetylenu,Podejrzany,,
154,e432,monolaurynian polioksyetylenosorbitolu,Niebezpieczny,,
155,e433,monooleinian polioksyetylenosorbitolu,Niebezpieczny,,
